,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
23,Hotel Godwin Deluxe,"8501/15 Arakashan Road, Paharganj, New Delhi, Delhi N.C.R, 110055, India","1.5 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantBarInternet accessConnecting rooms available,"Rs22,170",Good 7.4,Delhi,24/02/2021,06/03/2021
24,Hotel Grand Godwin,"8502/41 Arakashan Road, Ram Nagar, Paharganj, New Delhi, Delhi N.C.R, 110055, India","1.5 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantInternet accessConnecting rooms available,"Rs14,222",Good 7.0,Delhi,24/02/2021,06/03/2021
25,Roseate House,"Plot No. 10, GMR Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.4 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs44,356",Fabulous 8.6,Delhi,24/02/2021,06/03/2021
26,ibis New Delhi Aerocity Hotel,"Asset No 9, Hospitality District, Delhi Aerocity, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.7 km to Indira Gandhi International Airport (DEL)",PoolFree parkingPet-friendlyGymRestaurantBar,"Rs22,000",Good 7.8,Delhi,24/02/2021,06/03/2021
27,Novotel New Delhi Aerocity Hotel,"Asset 2, Aerocity Hospitality District, IGI Airport New Delhi, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.6 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs27,922",Very good 8.4,Delhi,24/02/2021,06/03/2021
28,Novotel New Delhi Aerocity Hotel,"Asset 2, Aerocity Hospitality District, IGI Airport New Delhi, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.6 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs27,922",Very good 8.4,Delhi,24/02/2021,06/03/2021
29,Almondz Hotel,"4/3 East Patel Nagar, Near Metro Pillar No 171, New Delhi, Delhi N.C.R, 110008, India","4.8 km to city centre
13 km to Indira Gandhi International Airport (DEL)",Free parkingPet-friendlyAirport transferSpaGymRestaurant,"Rs27,500",,Delhi,24/02/2021,06/03/2021
30,Hotel Krishna Plaza,"Plot No.1, Block 80-A Main Bazar, Paharganj, Nr. R.K.Ashram Marg Metro Stn, New Delhi, Delhi, 110055, India","1.2 km to city centre
15 km to Indira Gandhi International Airport (DEL)",Free parkingSpaRestaurant,"Rs14,550",5,Delhi,24/02/2021,06/03/2021
31,ADB Rooms Days Inn,"Property No. 1, Khasra No. 107, Main Road Haiderpur, New Delhi, Delhi N.C.R., 110088, India","12 km to city centre
19 km to Indira Gandhi International Airport (DEL)",Bathtub,"Rs15,000",,Delhi,24/02/2021,06/03/2021
32,Shervani Hotel Nehru Place,"B-20, Chirag enclave, New Delhi, Delhi N.C.R, 110048, India","9.9 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferGymRestaurant,"Rs31,442",Good 7.6,Delhi,24/02/2021,06/03/2021
33,Sheraton New Delhi Hotel,"District Centre, Saket, New Delhi, Delhi N.C.R, 110017, India","12 km to city centre
13 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs37,590",Very good 8.4,Delhi,24/02/2021,06/03/2021
34,OYO 46440 India Continental,"9143/3, Multani Dhanda, Paharganj, 9143/3, Multani Dhanda, Paharganj, New Delhi, Delhi, 110055, India","1.8 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Bathtub,"Rs13,722",,Delhi,24/02/2021,06/03/2021
35,Sky Rich International,"17A/19 W.E.A, Karol Bagh, Opp Jessa Ram Hospital, New Delhi, Delhi, 110005, India","3.3 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurant,"Rs23,562",2,Delhi,24/02/2021,06/03/2021
36,Smyle Inn,"916, Gali Chandi Wali, Main Bazaar, Paharganj, New Delhi, Delhi N.C.R, 110055, India","1.1 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Airport transferInternet accessConnecting rooms available,"Rs10,560",Good 7.0,Delhi,24/02/2021,06/03/2021
